P_style,P_schedule,P_color
SFPFM001,766332,SFBlack
SFPFM001,766474,SFBlack
SFPFM001,766475,SFBlack
SFPFM001,766476,SFBlack
SFPFM001,766477,SFBlack
SFPFM001,766478,SFBlack
SFPFM001,766479,SFBlack
SFPFM001,766480,SFBlack
SFPFM001,766481,SFBlack
SFPFM001,766482,SFBlack
SFPFM001,766483,SFBlack
SFPFM001,766484,SFBlack
SFPFM001,766485,SFBlack
SFPFM001,766486,SFBlack
SFPFM001,766487,SFBlack
